ARG	feature	score_RF	score_Odds
K19077	K00424	3.67140806856505e-16	-0.0686222082068088
K19077	K00426	0.0024226294659821	-1.0751834699932123
K19077	K00432	0.0024653104236614	-1.025444368975963
K19077	K00446	3.9106511634096005e-16	-0.0251542149578607
K19077	K00457	7.78657064820091e-16	-0.6740030875637383
K19077	K00479	3.0614557782337416e-16	-0.0762150986857977
K19077	K00481	8.792941752699335e-16	-0.2775190000279193
K19077	K00528	4.1641810470898494e-16	-0.6324329827063829
K19077	K00564	0.0002054204017933	-0.6216012087383587
K19077	K00568	4.374488117695644e-16	-0.6671268468397844
K19077	K00574	4.097260594133194e-05	-0.7608491229086194
K19077	K00605	0.0176613179988084	-1.279637414549154
K19077	K00620	0.0015515600165093	-0.3538078341246865
K19077	K00625	0.0045301300605429	1.1350512812226348
K19077	K00639	3.238130682044129e-05	-0.5519777621688386
K19077	K00640	5.085148216710467e-16	0.1085294049049396
K19077	K00645	9.208410193582426e-06	0.1505292743724709
K19077	K00647	2.6969298812899613e-16	-0.3338450501447182
K19077	K00652	0.0002976072539862	-0.7166770475712498
K19077	K00658	0.0028019266174008	-1.1250413021617096
K19077	K00675	3.985953741337296e-16	-0.0688320438222773
K19077	K00677	0.0003923334430827	-0.8513302479894077
K19077	K00684	4.096698593964005e-06	-0.7557116481562381
K19077	K00694	8.089650848188328e-07	-0.2222514389394165
K19077	K00703	5.261029122200218e-05	0.6731503336003809
K19077	K00705	0.0001846632964604	0.7191496557705422
K19077	K00721	4.3524382740910316e-08	-0.5264181610935104
K19077	K00728	0.0063627824064072	0.5707752673536916
K19077	K00754	7.394117676141403e-05	-0.1467740127261831
K19077	K00761	2.07143245120746e-07	0.3363596194561648
K19077	K00772	7.604089163405437e-16	-0.2428933243314139
K19077	K00798	0.0010005169551476	-0.9619331050253522
K19077	K00805	3.681333487145016e-05	-0.2071937553405291
K19077	K00812	0.0010800117575991	0.471814379160808
K19077	K00819	2.883668328845057e-16	-0.3262357876652885
K19077	K00824	0.0038715505108095	0.4417290288123982
K19077	K00830	3.7897483003045397e-16	-0.0896866647974171
K19077	K00836	4.1650593036667293e-16	-0.2046632569532639
K19077	K00845	1.3603569626634424e-05	0.7090873941453296
K19077	K00853	5.197869015707219e-06	-0.1046165758500955
K19077	K00856	3.15438094792422e-16	-0.4792200068901858
K19077	K00857	0.0013338908014464	-0.8221117890234031
K19077	K00865	0.0001889698460647	0.6912316986559206
K19077	K00867	1.856947432744876e-16	-0.3365943326691553
K19077	K00872	0.0011622815851266	-0.7382085207520367
K19077	K00903	2.0693567070166167e-05	-0.1637969007776481
K19077	K00912	0.0003595622570798	-0.804115895075969
K19077	K00926	0.0128425470994347	1.2271571543867514
K19077	K00937	0.000174794511017	0.105776231482121
